False Positive Rate,Precision,Recall,ROC AUC,F1-Score,source
0.03636363636363636,1.0,0.7142857142857143,0.8584905660377358,0.8333333333333334,metricsbio
0.08771929824561403,0.6666666666666666,0.2857142857142857,0.7574123989218329,0.4,metricsbio
0.05555555555555555,0.6666666666666666,0.5714285714285714,0.7412398921832883,0.6153846153846154,metricsbio
0.05454545454545454,0.8,0.5714285714285714,0.8194070080862533,0.6666666666666666,metricsbio
0.038461538461538464,0.625,0.7142857142857143,0.7816711590296496,0.6666666666666666,metricsbio
0.05555555555555555,0.6666666666666666,0.5714285714285714,0.7358490566037736,0.6153846153846154,metricsbio
0.07142857142857142,0.75,0.42857142857142855,0.830188679245283,0.5454545454545454,metricsbio
0.07272727272727272,0.6,0.42857142857142855,0.738544474393531,0.5,metricsbio
0.018867924528301886,0.8571428571428571,0.8571428571428571,0.9865229110512129,0.8571428571428571,metricsbio
0.08771929824561403,0.6666666666666666,0.2857142857142857,0.8369272237196765,0.4,metricsbio
0.09090909090909091,0.4,0.2857142857142857,0.7857142857142857,0.3333333333333333,metricsclin
0.10344827586206896,0.5,0.14285714285714285,0.6900269541778975,0.2222222222222222,metricsclin
0.0784313725490196,0.3333333333333333,0.42857142857142855,0.6765498652291105,0.375,metricsclin
0.10204081632653061,0.18181818181818182,0.2857142857142857,0.6145552560646901,0.2222222222222222,metricsclin
0.08771929824561403,0.6666666666666666,0.2857142857142857,0.77088948787062,0.4,metricsclin
0.08771929824561403,0.6666666666666666,0.2857142857142857,0.6819407008086253,0.4,metricsclin
0.08771929824561403,0.6666666666666666,0.2857142857142857,0.6954177897574123,0.4,metricsclin
0.09090909090909091,0.4,0.2857142857142857,0.628032345013477,0.3333333333333333,metricsclin
0.08771929824561403,0.6666666666666666,0.2857142857142857,0.7924528301886793,0.4,metricsclin
0.10344827586206896,0.5,0.14285714285714285,0.7035040431266847,0.2222222222222222,metricsclin
